name,molecular_weight,polarity,smiles,category,price_per_kg,olfactive_notes,olfactive_family,ifra_limit,is_allergen,complexity_tier,traditional_use,odor_threshold_ppb,odor_potency,russell_valence,russell_arousal,evidence_level,biodegradability,renewable_source,carbon_footprint
Baru (Dipteryx alata),282.47,7.2,CCCCCCCCC=CCCCCCCCC(=O)O,Base,110.0,Amendoado torrado,Gourmand,100.00%,False,3,Energia,300.0,Low,0.9,-0.2,Associação Cultural,True,True,1.1
Batiputá (Ouratea fieldingiana),222.37,3.8,CC1(O)CCC2(C)CCC3(C)C1CC32,Base,480.0,Floral amadeirado,Amadeirado,100.00%,False,3,Inflamação,150.0,Medium,0.8,0.2,Associação Cultural,True,True,1.9
Beldroega (Portulaca oleracea),100.16,1.8,CC/C=C\CCO,Top,180.0,Verde úmido aquoso,Verde,100.00%,False,3,Nutrição,100.0,Medium,0.7,0.5,Associação Cultural,True,True,1.2
Boldo-do-Brasil (Plectranthus barbatus),152.24,2.8,CC1(C)C2CCC1(C)C(=O)C2,Heart,220.0,Verde medicinal forte,Agreste,100.00%,False,3,Digestivo,80.0,Medium,0.4,0.6,Média (EEG),True,True,1.4
Boldinho (Plectranthus neochilus),154.25,2.8,CC1=C(CCC1=O)CC=CC,Heart,240.0,Herva aromática acre,Agreste,100.00%,False,3,Medicinal,120.0,Medium,0.3,0.6,Média (EEG),True,True,1.4
Caá-Tay (Pectis brevipedunculata),152.23,3.0,CC(=CCCC(=CC=O)C)C,Top,450.0,Limão intenso herbáceo,Cítrico,0.60%,True,3,Tempero,6.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.6
Cagaita (Eugenia dysenterica),176.12,0.8,C1OC2=C(O1)C=C(C=C2)C=O,Top,280.0,Frutado ácido fresco,Frutado,100.00%,False,3,Laxativo,10.0,Medium,0.8,0.2,Associação Cultural,True,True,1.3
Cajarana (Spondias sp.),130.18,1.9,CCC(C)C(=O)OCC,Top,210.0,Tropical suculento,Frutado,100.00%,False,3,Sabor,15.0,Medium,0.7,0.8,Associação Cultural,True,True,1.3
Calandiva (Kalanchoe brasiliensis),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,180.0,Floral verde macio,Floral,100.00%,False,3,Cicatrizante,200.0,Low,0.6,-0.7,Associação Cultural,True,True,1.2
Candeia (Eremanthus erythropappus),222.37,4.0,CC1=CCC(C(C1)C=C(C)C)O,Base,850.0,Amadeirado floral doce,Amadeirado,100.00%,False,3,Anti-inflamatório,50.0,High,0.5,-0.7,Alta (EEG),True,True,1.8
Carnaúba (Copernicia prunifera),286.45,7.5,CCCCCCCCC=CCCCCCCCC(=O)O,Base,95.0,Ceroso amendoado,Oleoso,100.00%,False,3,Depurativo,500.0,Low,0.8,-0.4,Associação Cultural,True,True,1.1
Catingueira (Caesalpinia pyramidalis),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,160.0,Verde resinoso forte,Agreste,100.00%,False,3,Medicinal,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.4
Catuaba (Anemopaegma arvense),222.37,5.0,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,650.0,Amadeirado tônico,Amadeirado,100.00%,False,3,Estimulante,100.0,Medium,0.7,0.5,Associação Cultural,True,True,1.9
Cedro-do-Amazonas (Cedrela odorata),222.37,4.8,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,320.0,Amadeirado seco nobre,Amadeirado,100.00%,False,3,Marcenaria,150.0,Low,0.4,-0.5,Média (Estudo Clínico),True,True,2.1
Cereja-do-Mato (Eugenia involucrata),204.35,4.2,CC1=CCC(CC1)C(=C)C,Top,420.0,Frutado cereja doce,Frutado,100.00%,False,3,Alimento,20.0,Medium,0.8,0.2,Associação Cultural,True,True,1.3
Cipó-Cruz (Calea pinnatifida),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,320.0,Herbal seco picante,Aromático,100.00%,False,3,Medicinal,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.6
Cominho-do-Brasil (Pectis elongata),152.23,3.0,CC(=CCCC(=CC=O)C)C,Top,480.0,Especiado cítrico,Especiado,0.60%,True,3,Tempero,8.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.8
Craibeira (Tabebuia caraiba),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,180.0,Floral amadeirado,Floral,100.00%,False,3,Medicinal,300.0,Low,0.8,0.2,Associação Cultural,True,True,2.0
Embira (Xylopia laevigata),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,520.0,Pimenta verde limão,Especiado,100.00%,False,3,Ritual,25.0,Medium,0.7,0.8,Associação Cultural,True,True,1.8
Erva-Mate (Ilex paraguariensis),154.25,2.6,CC1=C(CCC1=O)CC=CC,Heart,150.0,Defumado herbal verde,Verde,100.00%,False,3,Energia,100.0,Medium,0.4,0.6,Alta (EEG),True,True,1.2
Espinheira-Santa (Maytenus ilicifolia),222.37,3.5,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Heart,280.0,Herbal suave terra,Verde,100.00%,False,3,Digestivo,200.0,Low,0.5,-0.3,Associação Cultural,True,True,1.5
Estévia-Brasileira (Stevia rebaudiana),154.25,1.5,CC1=C(CCC1=O)CC=CC,Base,160.0,Doce herbal mel,Gourmand,100.00%,False,3,Adoçante,150.0,Medium,0.8,-0.4,Associação Cultural,True,True,1.4
Faveira (Dimorphandra gardneriana),222.37,4.8,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,350.0,Amadeirado tanino,Amadeirado,100.00%,False,3,Cicatrizante,250.0,Low,0.4,-0.5,Associação Cultural,True,True,1.9
Flor-de-Guarujá (Turnera ulmifolia),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,320.0,Floral amarelo mel,Floral,100.00%,False,3,Medicinal,150.0,Medium,0.8,0.2,Associação Cultural,True,True,1.5
Fruta-de-Veadinha (Erythroxylum subrotundum),136.23,3.5,CC1=CCC(CC1)C(=C)C,Top,450.0,Verde frutado bagas,Frutado,100.00%,False,3,Medicinal,80.0,Medium,0.7,0.8,Associação Cultural,True,True,1.6
Gabiroba (Campomanesia aurea),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,380.0,Cítrico herbáceo,Cítrico,100.00%,False,3,Sabor,15.0,High,0.7,0.8,Associação Cultural,True,True,1.7
Gengibre-Dourado (Curcuma longa),194.19,-0.1,CC1=CC2C(CC1=O)C(=C)CCC2(C)C,Top,320.0,Terroso picante quente,Especiado,100.00%,False,3,Culinária,10.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.8
Graviola (Annona muricata),176.12,1.2,C1OC2=C(O1)C=C(C=C2)C=O,Base,250.0,Frutado cremoso azedo,Frutado,100.00%,False,3,Alimento,40.0,Medium,0.8,0.2,Associação Cultural,True,True,1.3
Guaçatonga (Casearia sylvestris),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,180.0,Herbal seco couro,Aromático,100.00%,False,3,Cicatrizante,120.0,Medium,0.5,0.0,Associação Cultural,True,True,1.5
Guaco-Cheiroso (Mikania glomerata),146.14,1.4,C1=CC=C2C(=C1)C=CC(=O)O2,Heart,240.0,Mel balsâmico suave,Floral,0.016,True,3,Gripe,50.0,Medium,0.8,0.2,Média (Aromacologia),True,True,1.4
Guavira (Campomanesia adamantium),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,320.0,Cítrico resinoso doce,Cítrico,100.00%,False,3,Sabor,10.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.7
Imburana-de-Cheiro (Amburana cearensis),146.14,1.4,C1=CC=C2C(=C1)C=CC(=O)O2,Base,750.0,Baunilha amendoado coco,Gourmand,0.016,True,3,Perfume,10.0,High,0.9,-0.2,Alta (Psicologia Evolutiva),True,True,1.1
Inharé (Brosimum gaudichaudii),222.37,4.6,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,420.0,Amadeirado leitoso,Amadeirado,100.00%,False,3,Pele,180.0,Medium,0.4,-0.5,Associação Cultural,True,True,2.2
Ipê-Branco (Tabebuia roseo-alba),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,550.0,Floral branco limpo,Floral,100.00%,False,3,Ornamental,150.0,Low,0.8,0.2,Associação Cultural,True,True,2.0
Ixora-do-Cerrado (Ixora brevifolia),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,380.0,Floral especiado rosa,Floral,100.00%,False,3,Ornamental,100.0,Medium,0.8,0.2,Associação Cultural,True,True,2.0
Jaborandi (Pilocarpus microphyllus),154.25,2.6,CC1=C(CCC1=O)CC=CC,Heart,450.0,Herbal úmido terra,Verde,100.00%,False,3,Capilar,80.0,Medium,0.5,0.0,Associação Cultural,True,True,1.6
Janaguba (Himatanthus drasticus),222.37,5.2,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,420.0,Resinoso amadeirado,Balsâmico,100.00%,False,3,Medicinal,250.0,Low,0.7,0.3,Associação Cultural,True,True,2.1
Jaracatiá (Jacaratia spinosa),158.24,2.5,CCC=CCC(=O)OCC,Top,350.0,Frutado papaia doce,Frutado,100.00%,False,3,Alimento,20.0,Medium,0.8,0.5,Associação Cultural,True,True,1.4
João-Bobo (Chresta sphaerocephala),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,220.0,Herbal seco amargo,Agreste,100.00%,False,3,Medicinal,180.0,Medium,0.5,0.0,Associação Cultural,True,True,1.5
Jucá (Libidibia ferrea),204.35,5.2,CC1=CCC2C(CCC(=C)C2(C)C)C1,Base,380.0,Amadeirado tanino forte,Amadeirado,100.00%,False,3,Inflamação,300.0,Low,0.4,-0.5,Associação Cultural,True,True,1.6
Laranjinha-do-Mato (Calyptranthes spruceana),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,550.0,Cítrico aldeídico flor,Cítrico,100.00%,False,3,Perfume,10.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.7
Lavanda-Brasileira (Lavandula dentata),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,180.0,Lavanda canforada verde,Agreste,1.00%,True,3,Calmante,15.0,High,0.6,-0.7,Alta (EEG),True,True,1.2
Lobeira (Solanum lycocarpum),204.35,4.5,CC1=CC2CC2CC1C(=C)C,Heart,140.0,Herbal verde denso,Agreste,100.00%,False,3,Medicinal,250.0,Low,0.3,0.6,Associação Cultural,True,True,1.5
Macaca-Simba (Aniba firmula),212.24,4.0,C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2,Base,850.0,Floral balsâmico doce,Floral,4.80%,True,3,Perfume,150.0,Medium,0.8,0.2,Associação Cultural,True,True,2.4
Macela (Achyrocline satureioides),154.25,2.9,CC(=CCCC(C)(C=C)O)C,Heart,420.0,Camomila mel doce,Floral,100.00%,False,3,Calmante,50.0,Medium,0.8,0.2,Média (Aromacologia),True,True,1.5
Malva-de-Cheiro (Turnera diffusa),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,280.0,Floral herbáceo doce,Floral,100.00%,False,3,Afrodisíaco,100.0,Medium,0.7,0.5,Associação Cultural,True,True,1.4
Mangabarana (Austroplenckia populnea),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,320.0,Verde amadeirado resina,Agreste,100.00%,False,3,Medicinal,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.6
Marantel (Ctenanthe lubbersiana),154.25,3.1,CC(CCC=C(C)C)CC=O,Heart,250.0,Verde folha orvalho,Verde,100.00%,False,3,Ornamental,150.0,Medium,0.7,0.5,Associação Cultural,True,True,1.2
Marola (Annona coriacea),176.12,1.2,C1OC2=C(O1)C=C(C=C2)C=O,Base,280.0,Frutado resinoso doce,Frutado,100.00%,False,3,Alimento,100.0,Medium,0.8,0.2,Associação Cultural,True,True,1.4
Menta-do-Brasil (Mentha x villosa),150.22,2.4,CC1=CCC(CC1=O)C(=C)C,Top,180.0,Hortelã mentolado doce,Agreste,100.00%,False,3,Antiséptico,10.0,High,0.6,0.6,Alta (EEG),True,True,1.1
Mulungu (Erythrina velutina),204.35,4.2,CC1=CC2CC2CC1C(=C)C,Heart,320.0,Floral herbáceo macio,Floral,100.00%,False,3,Sedativo,200.0,Low,0.5,-0.7,Associação Cultural,True,True,1.5
Murta-do-Brasil (Myrtus communis),136.23,3.3,CC1=CCC(CC1)C(=C)C,Top,450.0,Cítrico herbáceo limpo,Cítrico,100.00%,False,3,Medicinal,40.0,Medium,0.7,0.8,Associação Cultural,True,True,1.5
Orquídea-Amazônica (Catasetum alatum),154.25,2.9,CC(=CCCC(C)(C=C)O)C,Top,1200.0,Floral exótico mel,Floral,100.00%,False,3,Perfume,5.0,High,0.8,0.2,Média (Aromacologia),True,True,1.8
Pata-de-Vaca (Bauhinia forficata),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,180.0,Verde floral neutro,Floral,100.00%,False,3,Diabetes,300.0,Low,0.5,0.0,Associação Cultural,True,True,1.4
Pau-Carne (Xylopia sericea),136.23,3.4,CC1=CCC(CC1)C(=C)C,Top,550.0,Pimenta amadeirado,Especiado,100.00%,False,3,Ritual,30.0,Medium,0.7,0.8,Associação Cultural,True,True,1.9
Pau-Ferro (Caesalpinia ferrea),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Base,320.0,Amadeirado tanino seco,Amadeirado,100.00%,False,3,Gripe,250.0,Low,0.4,-0.5,Associação Cultural,True,True,1.6
Pedra-Hume-Caá (Myrcia salicifolia),204.35,5.1,CC1=CCC2C(CCC(=C)C2(C)C)C1,Base,420.0,Amadeirado terra úmida,Amadeirado,100.00%,False,3,Insulina,150.0,Medium,0.4,-0.5,Associação Cultural,True,True,1.9
Pimenta-de-Macaco (Xylopia aromatica),136.23,3.4,CC1=CCC(CC1)C(=C)C,Top,520.0,Pimenta limão seco,Especiado,100.00%,False,3,Tempero,10.0,High,0.7,0.8,Média (Aromacologia),True,True,1.8
Pimenta-do-Sertão (Lippia grata),150.22,3.4,CC1=CC=C(C(C1)O)C(C)C,Heart,600.0,Especiado fenólico pimenta,Aromático,100.00%,True,3,Medicinal,15.0,High,0.3,0.9,Alta (Resposta Trigeminal),True,True,2.0
Pitomba (Talisia esculenta),158.24,2.5,CCC=CCC(=O)OCC,Top,280.0,Frutado ácido bagas,Frutado,100.00%,False,3,Alimento,100.0,Medium,0.8,0.2,Associação Cultural,True,True,1.3
Poejo-do-Brasil (Mentha pulegium),150.22,2.4,CC1=CCC(CC1=O)C(=C)C,Top,350.0,Hortelã medicinal forte,Agreste,100.00%,False,3,Gripe,5.0,High,0.4,0.6,Alta (EEG),True,True,1.3
Quebra-Pedra (Phyllanthus niruri),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,180.0,Verde herbáceo terra,Aromático,100.00%,False,3,Rins,200.0,Low,0.5,0.0,Associação Cultural,True,True,1.5
Quina-Quina (Coutarea hexandra),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Base,550.0,Amargo amadeirado medicinal,Amadeirado,100.00%,False,3,Febre,250.0,Low,0.3,0.6,Associação Cultural,True,True,2.1
Sabugueiro-do-Brasil (Sambucus australis),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,220.0,Floral doce herbáceo,Floral,100.00%,False,3,Gripe,150.0,Medium,0.8,0.2,Associação Cultural,True,True,1.5
Sete-Sangrias (Cuphea carthagenensis),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,240.0,Verde herbáceo seco,Agreste,100.00%,False,3,Sangue,250.0,Low,0.5,0.0,Associação Cultural,True,True,1.4
Tanchagem (Plantago major),154.25,2.6,CC1=C(CCC1=O)CC=CC,Heart,150.0,Verde terra úmida,Verde,100.00%,False,3,Inflamação,300.0,Low,0.5,-0.3,Associação Cultural,True,True,1.3
Umiri-Bálsamo (Humiria balsamifera),222.37,4.2,CC1(CCCC2(C1CCC2)C)O,Base,480.0,Amadeirado balsâmico,Balsâmico,100.00%,False,3,Ritual,80.0,Medium,0.5,-0.7,Associação Cultural,True,True,1.9
Vassourinha (Aloysia gratissima),152.23,3.0,CC(=CCCC(=CC=O)C)C,Top,580.0,Cítrico doce lavanda,Cítrico,0.60%,True,3,Perfume,10.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.6
Velame-do-Campo (Croton campestris),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,320.0,Herbal seco picante,Aromático,100.00%,False,3,Medicinal,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.6
Anis-Estrelado-Brasileiro (Illicium guianense),148.21,3.3,CC=CC1=CC=C(C=C1)OC,Heart,650.0,Anis doce licoroso,Especiado,1.00%,False,3,Digestivo,5.0,High,0.7,0.8,Média (Aromacologia),True,True,1.9
Cipó-Milhomens (Aristolochia littoralis),204.35,4.5,CC1=CC2CC2CC1C(=C)C,Heart,450.0,Herbal amadeirado forte,Aromático,100.00%,False,3,Ritual,200.0,Low,0.5,0.0,Associação Cultural,True,True,1.6
Erva-Santa (Lantana montevidensis),204.35,4.5,CC1=CC2CC2CC1C(=C)C,Top,280.0,Verde aromático acre,Agreste,100.00%,False,3,Medicinal,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.5
Estoraque (Ocimum micranthum),150.13,1.2,C1OC2=C(O1)C=C(C=C2)C=O,Heart,480.0,Balsâmico resinoso doce,Balsâmico,100.00%,False,3,Perfume,100.0,Medium,0.8,0.2,Associação Cultural,True,True,1.6
Gofre (Justicia pectoralis),146.14,1.4,C1=CC=C2C(=C1)C=CC(=O)O2,Heart,320.0,Baunilha herbácea suave,Floral,1.00%,True,3,Gripe,80.0,Medium,0.8,0.2,Associação Cultural,True,True,1.4
Guandu (Cajanus flavus),282.47,7.2,CCCCCCCC=CCCCCCCCC(=O)O,Base,150.0,Amendoado verde,Oleoso,100.00%,False,3,Nutrição,500.0,Low,0.6,-0.4,Associação Cultural,True,True,1.2
Mata-Pasto (Senna obtusifolia),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,180.0,Verde acre herbáceo,Agreste,100.00%,False,3,Medicinal,300.0,Low,0.5,0.0,Associação Cultural,True,True,1.4
Murici-Pequeno (Byrsonima intermedia),130.18,1.9,CCC(C)C(=O)OCC,Top,420.0,Frutado queijo exótico,Frutado,100.00%,False,3,Alimento,50.0,Medium,0.9,-0.2,Associação Cultural,True,True,1.8
Pata-de-Vaca-Branca (Bauhinia variegata candida),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,220.0,Floral suave verde,Floral,100.00%,False,3,Medicinal,250.0,Low,0.8,0.2,Associação Cultural,True,True,2.0
Pimenta-Adunca (Piper aduncum),222.37,3.5,CC1=CC=C(C=C1)CC=C,Heart,380.0,Especiado picante sândalo,Especiado,100.00%,True,3,Cicatrizante,20.0,High,0.5,0.8,Alta (Resposta Trigeminal),True,True,1.5
Pimenta-de-Fruto (Piper aequale),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,450.0,Pimenta fresca verde,Especiado,100.00%,False,3,Medicinal,40.0,Medium,0.7,0.8,Associação Cultural,True,True,1.7
Pimenta-de-Ovo (Piper marginatum),148.21,3.3,CC=CC1=CC=C(C=C1)OC,Heart,520.0,Anisado especiado,Especiado,100.00%,False,3,Ritual,10.0,High,0.8,0.5,Média (Aromacologia),True,True,1.8
Pimenta-de-Várzea (Piper mollipilosum),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,480.0,Amadeirado pimenta,Amadeirado,100.00%,False,3,Medicinal,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.6
Pitangueira-de-Folha-Fina (Eugenia osoriana),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,550.0,Cítrico frutado intenso,Cítrico,100.00%,False,3,Sachês,15.0,High,0.7,0.8,Associação Cultural,True,True,1.7
Sete-Dores (Plectranthus barbatus),154.25,2.8,CC1=C(CCC1=O)CC=CC,Heart,220.0,Verde medicinal acre,Agreste,100.00%,False,3,Digestivo,80.0,Medium,0.4,0.6,Média (EEG),True,True,1.4
Sete-Léguas (Podranea ricasoliana),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,420.0,Floral rosa doce,Floral,100.00%,False,3,Ornamental,150.0,Medium,0.8,0.2,Associação Cultural,True,True,1.5
Tingui (Mascagnia rigida),204.35,4.8,CC1=CC2CC2CC1C(=C)C,Heart,180.0,Verde herbáceo forte,Agreste,100.00%,False,3,Medicinal,300.0,Low,0.3,0.6,Associação Cultural,True,True,1.4
Uvaia-do-Cerrado (Eugenia pyriformis),136.23,3.3,CC1=CCC(CC1)C(=C)C,Top,450.0,Cítrico suculento doce,Frutado,100.00%,False,3,Sabor,15.0,Medium,0.8,0.2,Associação Cultural,True,True,1.5
Vassourinha-do-Cerrado (Baccharis reticularia),136.23,4.5,CC1(C2CCC(=C)C1C2)C,Top,320.0,Verde balsâmico seco,Agreste,100.00%,False,3,Medicinal,150.0,Medium,0.4,0.6,Associação Cultural,True,True,1.8
Verbena-de-Cheiro (Lippia alba),152.23,3.0,CC(=CCCC(=CC=O)C)C,Heart,250.0,Limão herbáceo doce,Cítrico,0.60%,True,3,Calmante,20.0,Medium,0.6,-0.7,Alta (Estudo Clínico),True,True,1.4
Xequerê (Mikania laevigata),146.14,1.4,C1=CC=C2C(=C1)C=CC(=O)O2,Heart,280.0,Mel herbáceo doce,Floral,0.016,True,3,Gripe,50.0,Medium,0.8,0.2,Média (Aromacologia),True,True,1.4
Zambul (Syzygium jambolana),204.35,4.2,CC1=CCC(CC1)C(=C)C,Top,320.0,Frutado bagas ácido,Frutado,100.00%,False,3,Diabetes,100.0,Medium,0.7,0.5,Associação Cultural,True,True,1.5
Zimbro-Brasileiro (Schinus molle),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,350.0,Pimenta resinoso fresco,Especiado,100.00%,False,3,Perfume,20.0,Medium,0.7,0.8,Média (Aromacologia),True,True,1.6
